source_observation_id,city_id,city,state,region,latitude,longitude,observed_at,temperature,wind_speed
1,36,Guwahati,Assam,Northeast,26.1844,91.7458,2026-07-10 00:00:00,28.5,3.7
3,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-10 00:00:00,29.4,6.7
4,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-11 00:00:00,31.0,4.6
5,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-12 00:00:00,32.1,7.6
6,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-13 00:00:00,32.3,7.6
7,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-14 00:00:00,31.0,7.5
8,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-15 00:00:00,31.5,6.3
9,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-16 00:00:00,34.0,7.3
10,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-17 00:00:00,34.3,5.9
11,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-18 00:00:00,33.8,7.4
12,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-19 00:00:00,33.1,6.5
13,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-20 00:00:00,28.9,5.1
14,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-21 00:00:00,27.6,7.5
15,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-22 00:00:00,28.6,10.3
16,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-23 00:00:00,29.0,10.7
17,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-24 00:00:00,28.7,10.1
18,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-25 00:00:00,29.4,10.0
19,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-26 00:00:00,30.8,3.9
20,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-27 00:00:00,31.9,3.4
21,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-28 00:00:00,28.2,6.8
22,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-29 00:00:00,29.6,3.0
23,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-30 00:00:00,29.8,6.7
24,80,New Delhi,Delhi,North,28.62137,77.2148,2026-07-31 00:00:00,29.9,10.5
25,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-01 00:00:00,29.5,9.8
26,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-02 00:00:00,29.4,7.6
27,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-03 00:00:00,29.3,5.9
28,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-04 00:00:00,27.7,4.1
29,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-05 00:00:00,29.1,4.0
30,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-06 00:00:00,27.2,5.1
31,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-07 00:00:00,26.6,8.8
32,80,New Delhi,Delhi,North,28.62137,77.2148,2026-08-08 00:00:00,28.2,7.8
33,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-10 00:00:00,26.7,4.1
34,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-11 00:00:00,28.4,5.2
35,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-12 00:00:00,28.8,7.8
36,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-13 00:00:00,29.9,8.2
37,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-14 00:00:00,30.3,6.8
38,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-15 00:00:00,30.6,8.4
39,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-16 00:00:00,30.8,8.0
40,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-17 00:00:00,31.1,8.4
41,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-18 00:00:00,31.4,6.5
42,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-19 00:00:00,30.5,7.1
43,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-20 00:00:00,27.5,10.0
44,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-21 00:00:00,27.4,9.1
45,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-22 00:00:00,28.5,11.8
46,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-23 00:00:00,28.4,8.3
47,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-24 00:00:00,29.3,6.9
48,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-25 00:00:00,28.8,13.0
49,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-26 00:00:00,30.1,3.7
50,20,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-27 00:00:00,29.1,5.2
