1,Gangtok,Sikkim,Northeast
2,Bhopal,Madhya Pradesh,Central
3,Patiala,Punjab,North
4,Bhubaneswar,Odisha,East
5,Dehradun,Uttarakhand,North
6,Aurangabad,Maharashtra,West
7,Coimbatore,Tamil Nadu,South
8,Agartala,Tripura,Northeast
9,Vasco da Gama,Goa,West
10,Darbhanga,Bihar,East
11,Ujjain,Madhya Pradesh,Central
12,Solapur,Maharashtra,West
13,Bareilly,Uttar Pradesh,North
14,Mumbai,Maharashtra,West
15,Vijayawada,Andhra Pradesh,South
16,Surat,Gujarat,West
17,Bengaluru,Karnataka,South
18,Durg,Chhattisgarh,Central
19,Ranchi,Jharkhand,Central
20,Indore,Madhya Pradesh,Central
21,Vijayapura,Karnataka,South
22,Noida,Uttar Pradesh,North
23,Naharlagun,Arunachal Pradesh,Northeast
24,Tinsukia,Assam,Northeast
25,Pune,Maharashtra,West
26,Howrah,West Bengal,East
27,Kurnool,Andhra Pradesh,South
28,Visakhapatnam,Andhra Pradesh,South
29,Nellore,Andhra Pradesh,South
30,Belagavi,Karnataka,South
31,Puri,Odisha,East
32,Mysuru,Karnataka,South
33,Mangaluru,Karnataka,South
34,Kozhikode,Kerala,South
35,Dimapur,Nagaland,Northeast
36,Durgapur,West Bengal,East
37,Patna,Bihar,East
38,Mathura,Uttar Pradesh,North
39,Shillong,Meghalaya,Northeast
40,Rajkot,Gujarat,West
41,Nagaon,Assam,Northeast
42,Agra,Uttar Pradesh,North
43,Hubballi,Karnataka,South
44,Dhanbad,Jharkhand,Central
45,Muzaffarpur,Bihar,East
46,Chandigarh,Chandigarh,North
47,Jabalpur,Madhya Pradesh,Central
49,Jamnagar,Gujarat,West
50,Warangal,Telangana,South
51,Lucknow,Uttar Pradesh,North
52,Chennai,Tamil Nadu,South
53,Madurai,Tamil Nadu,South
54,Gorakhpur,Uttar Pradesh,North
55,Ghaziabad,Uttar Pradesh,North
56,Thiruvananthapuram,Kerala,South
57,Jamshedpur,Jharkhand,Central
58,Udaipur,Rajasthan,North
59,Jodhpur,Rajasthan,North
60,Sibsagar,Assam,Northeast
61,Varanasi,Uttar Pradesh,North
62,Aizawl,Mizoram,Northeast
63,Jaipur,Rajasthan,North
64,Rourkela,Odisha,East
65,Itanagar,Arunachal Pradesh,Northeast
66,Vadodara,Gujarat,West
67,Tezpur,Assam,Northeast
68,Srinagar,Jammu and Kashmir,North
69,Ajmer,Rajasthan,North
70,Gaya,Bihar,East
71,Jalandhar,Punjab,North
72,Mapusa,Goa,West
74,Kochi,Kerala,South
75,Ahmedabad,Gujarat,West
76,Korba,Chhattisgarh,Central
77,Kolkata,West Bengal,East
78,Bhavnagar,Gujarat,West
79,Ludhiana,Punjab,North
80,Nagpur,Maharashtra,West
81,Alwar,Rajasthan,North
82,Bilaspur,Chhattisgarh,Central
83,Sambalpur,Odisha,East
84,Siliguri,West Bengal,East
85,Tiruchirappalli,Tamil Nadu,South
86,Imphal,Manipur,Northeast
87,Bokaro,Jharkhand,Central
88,Thane,Maharashtra,West
89,Kollam,Kerala,South
90,Kanpur,Uttar Pradesh,North
91,Kota,Rajasthan,North
92,New Delhi,Delhi,North
93,Salem,Tamil Nadu,South
94,Amritsar,Punjab,North
95,Gwalior,Madhya Pradesh,Central
96,Prayagraj,Uttar Pradesh,North
97,Kannur,Kerala,South
98,Tirupati,Andhra Pradesh,South
99,Raipur,Chhattisgarh,Central
100,Gandhinagar,Gujarat,West
101,Bikaner,Rajasthan,North
102,Sagar,Madhya Pradesh,Central
103,Leh,Ladakh,North
104,Dibrugarh,Assam,Northeast
105,Meerut,Uttar Pradesh,North
106,Jammu,Jammu and Kashmir,North
107,Puducherry,Puducherry,South
108,Nashik,Maharashtra,West
109,Bhagalpur,Bihar,East
110,Hyderabad,Telangana,South
112,Cuttack,Odisha,East
113,Kolhapur,Maharashtra,West
114,Kohima,Nagaland,Northeast
115,Shimla,Himachal Pradesh,North
116,Panaji,Goa,West
117,Asansol,West Bengal,East
118,Port Blair,Andaman and Nicobar Islands,South
119,Haridwar,Uttarakhand,North
120,Tirunelveli,Tamil Nadu,South
121,PracticeCity_01,Practice State,Practice Region
122,PracticeCity_02,Practice State,Practice Region
123,PracticeCity_03,Practice State,Practice Region
