1,Guwahati,Assam,Northeast,26.1844,91.7458,2026-07-10 00:00:00,28.5,3.7
3,New Delhi,Delhi,North,28.62137,77.2148,2026-07-10 00:00:00,29.4,6.7
4,New Delhi,Delhi,North,28.62137,77.2148,2026-07-11 00:00:00,31,4.6
5,New Delhi,Delhi,North,28.62137,77.2148,2026-07-12 00:00:00,32.1,7.6
6,New Delhi,Delhi,North,28.62137,77.2148,2026-07-13 00:00:00,32.3,7.6
7,New Delhi,Delhi,North,28.62137,77.2148,2026-07-14 00:00:00,31,7.5
8,New Delhi,Delhi,North,28.62137,77.2148,2026-07-15 00:00:00,31.5,6.3
9,New Delhi,Delhi,North,28.62137,77.2148,2026-07-16 00:00:00,34,7.3
10,New Delhi,Delhi,North,28.62137,77.2148,2026-07-17 00:00:00,34.3,5.9
11,New Delhi,Delhi,North,28.62137,77.2148,2026-07-18 00:00:00,33.8,7.4
12,New Delhi,Delhi,North,28.62137,77.2148,2026-07-19 00:00:00,33.1,6.5
13,New Delhi,Delhi,North,28.62137,77.2148,2026-07-20 00:00:00,28.9,5.1
14,New Delhi,Delhi,North,28.62137,77.2148,2026-07-21 00:00:00,27.6,7.5
15,New Delhi,Delhi,North,28.62137,77.2148,2026-07-22 00:00:00,28.6,10.3
16,New Delhi,Delhi,North,28.62137,77.2148,2026-07-23 00:00:00,29,10.7
17,New Delhi,Delhi,North,28.62137,77.2148,2026-07-24 00:00:00,28.7,10.1
18,New Delhi,Delhi,North,28.62137,77.2148,2026-07-25 00:00:00,29.4,10
19,New Delhi,Delhi,North,28.62137,77.2148,2026-07-26 00:00:00,30.8,3.9
20,New Delhi,Delhi,North,28.62137,77.2148,2026-07-27 00:00:00,31.9,3.4
21,New Delhi,Delhi,North,28.62137,77.2148,2026-07-28 00:00:00,28.2,6.8
22,New Delhi,Delhi,North,28.62137,77.2148,2026-07-29 00:00:00,29.6,3
23,New Delhi,Delhi,North,28.62137,77.2148,2026-07-30 00:00:00,29.8,6.7
24,New Delhi,Delhi,North,28.62137,77.2148,2026-07-31 00:00:00,29.9,10.5
25,New Delhi,Delhi,North,28.62137,77.2148,2026-08-01 00:00:00,29.5,9.8
26,New Delhi,Delhi,North,28.62137,77.2148,2026-08-02 00:00:00,29.4,7.6
27,New Delhi,Delhi,North,28.62137,77.2148,2026-08-03 00:00:00,29.3,5.9
28,New Delhi,Delhi,North,28.62137,77.2148,2026-08-04 00:00:00,27.7,4.1
29,New Delhi,Delhi,North,28.62137,77.2148,2026-08-05 00:00:00,29.1,4
30,New Delhi,Delhi,North,28.62137,77.2148,2026-08-06 00:00:00,27.2,5.1
31,New Delhi,Delhi,North,28.62137,77.2148,2026-08-07 00:00:00,26.6,8.8
32,New Delhi,Delhi,North,28.62137,77.2148,2026-08-08 00:00:00,28.2,7.8
33,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-10 00:00:00,26.7,4.1
34,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-11 00:00:00,28.4,5.2
35,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-12 00:00:00,28.8,7.8
36,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-13 00:00:00,29.9,8.2
37,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-14 00:00:00,30.3,6.8
38,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-15 00:00:00,30.6,8.4
39,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-16 00:00:00,30.8,8
40,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-17 00:00:00,31.1,8.4
41,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-18 00:00:00,31.4,6.5
42,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-19 00:00:00,30.5,7.1
43,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-20 00:00:00,27.5,10
44,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-21 00:00:00,27.4,9.1
45,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-22 00:00:00,28.5,11.8
46,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-23 00:00:00,28.4,8.3
47,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-24 00:00:00,29.3,6.9
48,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-25 00:00:00,28.8,13
49,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-26 00:00:00,30.1,3.7
50,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-27 00:00:00,29.1,5.2
51,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-28 00:00:00,26.2,8.4
52,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-29 00:00:00,28.9,5.8
53,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-30 00:00:00,28.6,9.9
54,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-07-31 00:00:00,29,10.5
55,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-01 00:00:00,29.1,7.8
56,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-02 00:00:00,29.5,6.3
57,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-03 00:00:00,29.2,7.6
58,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-04 00:00:00,27.1,5.6
59,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-05 00:00:00,28.2,4.6
60,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-06 00:00:00,26.4,8.5
61,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-07 00:00:00,27.7,6
62,Chandigarh,Chandigarh,North,30.73629,76.7884,2026-08-08 00:00:00,28.2,6.5
63,Amritsar,Punjab,North,31.62234,74.87534,2026-07-10 00:00:00,29.9,6.9
64,Amritsar,Punjab,North,31.62234,74.87534,2026-07-11 00:00:00,28.8,8.4
65,Amritsar,Punjab,North,31.62234,74.87534,2026-07-12 00:00:00,27.1,5.9
66,Amritsar,Punjab,North,31.62234,74.87534,2026-07-13 00:00:00,29,3.3
67,Amritsar,Punjab,North,31.62234,74.87534,2026-07-14 00:00:00,30.6,3.7
68,Amritsar,Punjab,North,31.62234,74.87534,2026-07-15 00:00:00,30.4,4.4
69,Amritsar,Punjab,North,31.62234,74.87534,2026-07-16 00:00:00,31.7,3.3
70,Amritsar,Punjab,North,31.62234,74.87534,2026-07-17 00:00:00,32.2,6.1
71,Amritsar,Punjab,North,31.62234,74.87534,2026-07-18 00:00:00,32.6,4.4
72,Amritsar,Punjab,North,31.62234,74.87534,2026-07-19 00:00:00,31.5,7
73,Amritsar,Punjab,North,31.62234,74.87534,2026-07-20 00:00:00,29.5,9.4
74,Amritsar,Punjab,North,31.62234,74.87534,2026-07-21 00:00:00,27.2,11.1
75,Amritsar,Punjab,North,31.62234,74.87534,2026-07-22 00:00:00,26.6,11.6
76,Amritsar,Punjab,North,31.62234,74.87534,2026-07-23 00:00:00,26.7,9.9
77,Amritsar,Punjab,North,31.62234,74.87534,2026-07-24 00:00:00,28.9,7
78,Amritsar,Punjab,North,31.62234,74.87534,2026-07-25 00:00:00,27.9,9.5
79,Amritsar,Punjab,North,31.62234,74.87534,2026-07-26 00:00:00,30.2,3.9
